Features	label
8::span:72:73	-1
18::span:73:74	-1
28::span:85:86	-1
38::span:85:86	-1
48::span:75:76	-1
58::span:74:75	-1
68::span:72:73	-1
78::span:87:88	-1
88::span:75:76	-1
98::span:75:76	-1
108::span:73:74	-1
118::span:73:74	-1
128::span:73:74	-1
138::span:76:77	-1
148::span:74:75	-1
158::span:72:73	-1
168::span:76:77	-1
178::span:73:74	-1
188::span:88:89	-1
198::span:74:75	-1
208::span:83:84	-1
218::span:85:86	-1
228::span:74:75	-1
238::span:89:90	-1
248::span:96:97	-1
258::span:82:83	-1
268::span:75:76	-1
278::span:76:77	-1
288::span:85:86	-1
298::span:87:88	-1
308::span:88:89	-1
318::span:77:78	-1
328::span:75:76	-1
338::span:74:75	-1
348::span:88:89	-1
358::span:76:77	-1
368::span:76:77	-1
378::span:77:78	-1
388::span:87:88	-1
398::span:76:77	-1
408::span:86:87	-1
418::span:86:87	-1
428::span:88:89	-1
438::span:85:86	-1
448::span:72:73	-1
458::span:86:87	-1
468::span:77:78	-1
478::span:87:88	-1
488::span:70:71	-1
498::span:76:77	-1
508::span:87:88	-1
518::span:89:90	-1
528::span:76:77	-1
538::span:87:88	-1
548::span:87:88	-1
558::span:88:89	-1
568::span:72:73	-1
578::span:73:74	-1
588::span:87:88	-1
598::span:84:85	-1
608::span:97:98	-1
618::span:88:89	-1
628::span:88:89	-1
638::span:87:88	-1
648::span:77:78	-1
658::span:85:86	-1
668::span:84:85	-1
678::span:71:72	-1
688::span:100:101	-1
698::span:83:84	-1
708::span:76:77	-1
718::span:82:83	-1
728::span:76:77	-1
738::span:76:77	-1
748::span:86:87	-1
758::span:97:98	-1
768::span:77:78	-1
778::span:86:87	-1
788::span:89:90	-1
798::span:88:89	-1
808::span:83:84	-1
818::span:98:99	-1
828::span:95:96	-1
838::span:75:76	-1
848::span:76:77	-1
858::span:75:76	-1
868::span:75:76	-1
878::span:86:87	-1
888::span:86:87	-1
898::span:85:86	-1
908::span:90:91	-1
918::span:85:86	-1
928::span:76:77	-1
938::span:96:97	-1
948::span:98:99	-1
958::span:84:85	-1
968::span:94:95	-1
978::span:75:76	-1
988::span:86:87	-1
998::span:77:78	-1
1008::span:99:100	-1
1018::span:75:76	-1
1028::span:76:77	-1
